;Alphonso Davies;Dayot Upamecano;Eric Choupo-Moting;Harry Kane;Jamal Musiala;Joshua Kimmich;Kim Min-jae;Kingsley Coman;Konrad Laimer;Leon Goretzka;Leroy Sane;Serge Gnabry;Sven Ulreich;Thomas Muller
Alphonso Davies;0.0928745952408788;0.139946851871557;0.0224211340737042;0.0485017634836528;0.0508104595269786;0.094830404546625;0.161663153816031;0.0417976372694875;0.0831546883202909;0.0844041778157606;0.0715198850926126;0.0286288928874552;0.0762434685741066;0.00320288748085862
Dayot Upamecano;0.0928735464323128;0.139945813553485;0.0224229313359624;0.048502413348819;0.0508106232088211;0.0948296260727425;0.161661367003494;0.0417985018153983;0.0831551203984434;0.084405215923957;0.0715210005572221;0.028628333168118;0.0762421862032727;0.00320332097795152
Eric Choupo-Moting;0.0928721326080858;0.139944896044678;0.0224229083460575;0.0485023859327763;0.0508101610521481;0.0948284148177719;0.161660118624279;0.0417999098685518;0.0831547199318966;0.0844066164067894;0.071523792927934;0.0286281673263385;0.0762415202157728;0.00320425589692011
Harry Kane;0.0928739452288977;0.139946142775739;0.0224239602158005;0.0485026902860212;0.0508110222267892;0.0948291201557584;0.161659106825793;0.0417993555667727;0.0831546942383158;0.0844060866704972;0.0715213805448848;0.0286276540589215;0.0762412425101554;0.00320359869565316
Jamal Musiala;0.0928740399423095;0.13994636065993;0.0224221520197192;0.048502111348269;0.0508105625066914;0.0948297834410447;0.161661669944632;0.041798407063539;0.0831547254232308;0.08440502097788;0.0715208364112735;0.0286284661610832;0.0762425999528131;0.00320326414758494
Joshua Kimmich;0.0928751056410591;0.139947197420097;0.0224223905731231;0.0485021282622075;0.0508109564375033;0.0948300714265583;0.161661029285285;0.0417982680110215;0.0831544361044042;0.0844048511330136;0.0715198158779515;0.0286282087061088;0.0762425269614504;0.00320301416021626
Kim Min-jae;0.0928758293194377;0.139947928849646;0.0224217668311124;0.0485018745262477;0.0508110227867885;0.0948301946211357;0.161660905892059;0.0417982794145274;0.0831539589036646;0.0844047578317077;0.0715195397742164;0.028628192224593;0.0762427935896378;0.00320295543522591
Kingsley Coman;0.0928731722921538;0.139945304450447;0.0224245724737142;0.048502951767084;0.0508109402224972;0.0948291106335276;0.161659588331623;0.0417991494471418;0.0831553261256889;0.0844060160083189;0.0715214622008305;0.0286277511859011;0.0762410738297293;0.00320358103134191
Konrad Laimer;0.0928739453150154;0.139946266678413;0.0224236432414105;0.0485025769480085;0.0508109407280985;0.0948289818661796;0.161658953122495;0.0417995698793411;0.0831544639813555;0.0844062422164621;0.0715217526667265;0.0286276575991798;0.0762412874892663;0.00320371826804801
Leon Goretzka;0.092874436275115;0.13994666060183;0.0224223989740477;0.0485021706088742;0.0508107524074173;0.0948298460472075;0.1616612250154;0.0417984223774103;0.0831546239588053;0.0844050332117429;0.0715204760447581;0.0286283030179291;0.0762424627119533;0.00320318874750903
Leroy Sane;0.0928743616914566;0.13994647204179;0.0224234633829582;0.0485025099516243;0.0508110108378075;0.0948295610173908;0.161660001632771;0.041798815758175;0.0831547034911726;0.084405515188594;0.0715206210303445;0.0286278966667078;0.0762417498225862;0.00320331748662161
Serge Gnabry;0.0928761651350433;0.139948183708956;0.0224212360953376;0.0485016863490301;0.0508109761433656;0.0948306328561331;0.161661911933109;0.0417977187473798;0.0831540034376827;0.084404172965796;0.0715188296421079;0.0286284705613453;0.0762433292538289;0.00320268317088393
Sven Ulreich;0.092874422624336;0.13994669299386;0.0224220257854842;0.0485020610786964;0.0508106498245713;0.0948299790946387;0.161661761923978;0.0417982301469541;0.0831546500536645;0.0844048092008992;0.0715203806980873;0.0286284753747653;0.0762427445422285;0.00320311665783647
Thomas Muller;0.0928744131166597;0.139945366523051;0.0224297912784407;0.0485044955655163;0.0508126441180085;0.0948289328165691;0.16165479611001;0.0417996815326957;0.0831558052368931;0.0844070461077643;0.071519436241234;0.0286259583512807;0.0762382735906476;0.00320335941122841
