;Aleksa Terzic;Alexander Schlager;Amar Dedic;Kamil Piatkowski;Karim Konate;Lucas Gourna-Douath;Luka Sucic;Mads Bidstrup;Maurits Kjaergaard;Oscar Gloukh;Oumar Solet;Petar Ratkov;Roko Simic;Samson Baidoo;Sekou Koita;Strahinja Pavlovic
Aleksa Terzic;0.0935217724236753;0.0512314075412083;0.107134808602055;0.0129975469862379;0.0431866485084907;0.135887822407503;0.0335624408066008;0.0573420311687175;0.128184518241078;0.0711346173253559;0.0254292905054942;0.00905775726635149;0.0386609421054712;0.104370831168801;0.0161462399584126;0.0721513249845463
Alexander Schlager;0.0935209458204756;0.0512315510273595;0.107135510908898;0.0129976676105851;0.043186024444927;0.135887776736129;0.0335642374463031;0.0573419754366919;0.12818345358557;0.0711337078303645;0.0254299765645436;0.00905761681218154;0.0386606137164486;0.104370614319309;0.016147077625918;0.0721512501142948
Amar Dedic;0.0935207400850393;0.051231591187537;0.107135685162737;0.0129976985820793;0.0431858691288992;0.135887751678904;0.0335647219390351;0.0573419616413238;0.128183185132285;0.0711334782370083;0.0254301389251052;0.00905758147075619;0.0386605307747929;0.104370555979479;0.0161472751350345;0.0721512349399834
Kamil Piatkowski;0.0935201673356787;0.0512314479269244;0.107136170301224;0.012997734186764;0.0431854554263459;0.13588820445668;0.0335646571828264;0.0573418721165597;0.128182625169287;0.0711329839229191;0.025430990375402;0.00905750505347181;0.0386603404966959;0.104370466348863;0.0161483970228036;0.0721509826775546
Karim Konate;0.0935219808983876;0.051231298119581;0.107134631945442;0.0129975020315734;0.0431868109907577;0.135887985239834;0.0335615792615229;0.057342030664843;0.128184839865254;0.07113488819208;0.0254292327951159;0.0090577989676924;0.0386610365999502;0.104370907276148;0.0161461935731016;0.0721512835787166
Lucas Gourna-Douath;0.0935211084897087;0.0512314432569732;0.107135372310055;0.0129976280713531;0.0431861533634775;0.135887947420405;0.0335634453929631;0.0573419703458274;0.12818372228544;0.0711339320280381;0.0254299655506904;0.00905765132395756;0.0386606910150313;0.104370679234558;0.0161470905948348;0.072151199316687
Luka Sucic;0.0935197792539972;0.0512321165090974;0.107136499323507;0.0129979104727278;0.043185118373263;0.135886942888924;0.033568860416939;0.0573419647098439;0.128181680465053;0.0711322139273187;0.0254303684136566;0.00905738732519653;0.0386600891478848;0.104370185944621;0.0161474404165705;0.072151442411399
Mads Bidstrup;0.093520877234165;0.0512315521595006;0.107135569127436;0.0129976755046485;0.0431859734487704;0.135887794564004;0.0335643283502865;0.0573419685630317;0.128183372981518;0.0711336384340025;0.0254300502044793;0.00905760608985577;0.0386605881044345;0.104370599015864;0.0161471711791289;0.072151235038874
Maurits Kjaergaard;0.093521554828517;0.0512313510527363;0.107134994081708;0.0129975599562559;0.0431864911022924;0.13588800243645;0.0335623942631948;0.0573419972419641;0.128184306786964;0.0711344304427324;0.0254296190400528;0.00905772831252793;0.0386608705075954;0.104370800103858;0.0161466725554107;0.0721512272877398
Oscar Gloukh;0.0935217182781799;0.0512314576627163;0.107134854752335;0.0129975628677383;0.043186604774192;0.135887736667854;0.0335627809024742;0.0573420358321087;0.128184419377503;0.0711345345631219;0.0254292720133477;0.00905774453134731;0.0386609143307608;0.104370806177334;0.0161462037922585;0.0721513534767273
Oumar Solet;0.0935203280890696;0.051231299832467;0.107136033989898;0.0129976867336671;0.0431855854664908;0.135888465741425;0.033563622696229;0.0573418601454698;0.128182922166288;0.0711332304860044;0.0254310467649873;0.00905754276534374;0.0386604244122111;0.104370547639708;0.0161485044718938;0.0721508985988476
Petar Ratkov;0.0935220454164616;0.0512313859591482;0.107134576181958;0.0129975122783777;0.0431868530728551;0.135887781679957;0.0335619977579166;0.0573420542847115;0.128184851328291;0.0711349026724321;0.0254290225280843;0.00905780143590931;0.0386610462328243;0.104370893702868;0.0161459046663375;0.0721513708018676
Roko Simic;0.0935216057593087;0.0512313635280076;0.107134950345835;0.0129975568137983;0.043186527900921;0.135887964564741;0.0335623934278672;0.0573420056806035;0.128184357329601;0.0711344757904816;0.025429543582976;0.00905773524374644;0.0386608877308344;0.104370809601851;0.0161465727412836;0.072151249958143
Samson Baidoo;0.0935208933026069;0.0512314608849458;0.107135555324945;0.0129976555404502;0.0431859921665692;0.135887978537625;0.0335637966655845;0.0573419523740584;0.12818345976891;0.0711337070214901;0.0254301757349505;0.00905761647753169;0.0386606089514945;0.1043706301793;0.0161473533045026;0.072151163765035
Sekou Koita;0.0935186198059118;0.0512311055405237;0.10713748204775;0.0129978389479013;0.0431843336871457;0.135889353800853;0.0335646780455375;0.0573416426928131;0.128181082707511;0.0711316268342925;0.0254332255329178;0.00905729485023364;0.0386598216063056;0.104370224477661;0.0161513305342994;0.0721503388883434
Strahinja Pavlovic;0.0935211645842303;0.051231444433414;0.107135325081481;0.0129976220049426;0.0431861946639347;0.135887931191064;0.0335633756861701;0.057341976831142;0.128183786540285;0.0711339879435377;0.0254299029045503;0.0090576599073438;0.0386607118724214;0.104370692833511;0.0161470100233449;0.0721512134986279
