;Alessandro Bastoni;Alexis Sanchez;Benjamin Pavard;Carlos Augusto;Davide Frattesi;Denzel Dumfries;Federico Dimarco;Francesco Acerbi;Henrikh Mkhitaryan;Kristjan Asllani;Lautaro Martinez;Marcus Thuram;Marko Arnautovic;Nicolo Barella;Stefan de Vrij;Yann Sommer
Alessandro Bastoni;0.0835195724636823;0.0304283187701954;0.124904471365545;0.0922741130064881;0.027325639718609;0.068098586689587;0.064718273510974;0.0211999021535533;0.0498492401441409;0.0703545429187998;0.0328193022493577;0.0197759517269378;0.0275695420109974;0.106981895913225;0.0968542665666673;0.0833263807912406
Alexis Sanchez;0.0835190334449925;0.030432326709439;0.12490313630384;0.0922660498681185;0.0273306327760678;0.0681023567102904;0.0647231768647226;0.0212000682663901;0.0498465793213787;0.0703531487750232;0.0328208504374341;0.0197795451457065;0.0275699835887449;0.106981629701886;0.0968485294851217;0.0833229526008436
Benjamin Pavard;0.0835209076379381;0.0304288749827737;0.124904374477663;0.0922702705291059;0.0273271213791239;0.0680998944297849;0.0647210524786243;0.0212003452653982;0.0498479282624273;0.0703543406753406;0.0328197309476386;0.0197766615609524;0.02756986436489;0.106981427961345;0.0968514844916518;0.0833257205553421
Carlos Augusto;0.0835283552036177;0.0304261714114486;0.124905616780659;0.0922623017098624;0.0273278231750654;0.0681012327009324;0.0647282872271966;0.0212023573550956;0.0498450290702408;0.070355190464312;0.0328198131189469;0.019775218290522;0.0275708410121434;0.106979437835789;0.0968453379404699;0.083326986703698
Davide Frattesi;0.0835206780506715;0.0304317062363852;0.124903409465942;0.0922642179696304;0.0273308215702322;0.0681026376487682;0.0647247957944162;0.0212005111472558;0.0498459357943179;0.0703533177438967;0.0328208674460161;0.0197792601554764;0.0275702008563985;0.10698123769158;0.0968471751868367;0.0833232272421763
Denzel Dumfries;0.08352320133961;0.030428409983811;0.124904636507777;0.0922669205471626;0.0273278629660206;0.068100727387897;0.0647238077391658;0.0212009926999511;0.0498467491134959;0.0703544748445154;0.0328199149251384;0.0197765606359825;0.0275702167519251;0.106980768364794;0.0968489751267421;0.0833257810660121
Federico Dimarco;0.0835181353120672;0.0304294519713396;0.124903954788004;0.0922743139400124;0.0273262657516853;0.068098921173631;0.0647177838941672;0.0211995757505219;0.0498493267339407;0.070354150093638;0.0328195403699896;0.0197767981927422;0.0275694341783412;0.106982235378954;0.0968544892599823;0.0833256232109838
Francesco Acerbi;0.0835216626045914;0.0304288631620697;0.124904413883984;0.092268853429808;0.0273275852587446;0.0681002946006008;0.0647221734104655;0.0212005762200019;0.0498474400832713;0.0703543337141159;0.0328198447506091;0.0197767654836703;0.0275700018843136;0.106981192199037;0.0968504191915988;0.083325580123118
Henrikh Mkhitaryan;0.0835246744782557;0.0304269590027873;0.124905217579237;0.0922674874921104;0.0273267688813243;0.0680999902248301;0.0647239214222627;0.0212013091170063;0.0498468869643744;0.0703549534986493;0.0328195520237967;0.0197754261582884;0.0275702799493324;0.106980499935478;0.0968492470544816;0.0833268262177855
Kristjan Asllani;0.0835237307726282;0.0304269822555863;0.124905128711316;0.0922692284298416;0.0273262378128372;0.068099521181207;0.0647225548522144;0.0212010362827441;0.0498474849423369;0.0703549664021642;0.0328194098666187;0.0197753144103531;0.0275701164737082;0.106980765200028;0.0968505620553079;0.0833269603511081
Lautaro Martinez;0.083523093532129;0.0304270047035658;0.124905075392313;0.0922704512701618;0.0273258843449592;0.0680991770400146;0.064721627388051;0.021200842965526;0.0498478993184126;0.0703549576394783;0.0328193300595;0.0197752221518309;0.027569995339869;0.106980969047569;0.0968514285721688;0.0833270412344519
Marcus Thuram;0.0835213023175303;0.0304302420384224;0.124903894289632;0.092266381245479;0.0273291154827921;0.0681014855046973;0.0647236318597072;0.0212005747482245;0.0498466098656316;0.0703538274801569;0.0328203634966744;0.019778001132313;0.0275701166075993;0.106981219794961;0.0968487216375654;0.0833245124986138
Marko Arnautovic;0.0835228527298166;0.0304276103023197;0.124904839229013;0.0922694389467042;0.0273265619609372;0.068099726809659;0.0647221553691708;0.0212008362582359;0.0498475792862523;0.0703547759164285;0.0328195224099714;0.0197757733728261;0.0275700531323424;0.10698093121464;0.0968507975045151;0.0833265455571674
Nicolo Barella;0.0835227447387155;0.0304285289615799;0.124904621370303;0.0922675723511704;0.0273277375576945;0.0681005231437372;0.064723279873666;0.0212008475855213;0.0498469817233034;0.0703544123525657;0.0328198995576422;0.0197765928964869;0.0275701349281705;0.106980952601604;0.0968494178620504;0.0833257524957897
Stefan de Vrij;0.0835250729610275;0.0304273357004545;0.124905095211774;0.0922658451187472;0.0273274812413049;0.0681006243389102;0.0647250562851176;0.0212014643372981;0.0498463241418441;0.0703548254586295;0.0328197650483028;0.0197758351372895;0.0275704072018594;0.106980321424729;0.0968480869116392;0.0833264594810724
Yann Sommer;0.0835263649388617;0.0304267997338854;0.124905344578613;0.0922646134395471;0.0273275290530928;0.0681008010930509;0.0647262028539955;0.0212017993319587;0.04984587523919;0.0703549909882142;0.0328197639809433;0.0197755110314779;0.0275705617837949;0.106979990353678;0.0968471138277812;0.0833267377719157
