;Alexander Isak;Anthony Gordon;Bruno Guimaraes;Dan Burn;Elliot Anderson;Fabian Schar;Jacob Murphy;Jamaal Lascelles;Kieran Trippier;Miguel Almiron;Nick Pope;Sandro Tonali;Sean Longstaff
Alexander Isak;0.0916427290418046;0.100533286286736;0.142022646393962;0.0675149560808487;0.0301276594271531;0.0933629692147382;0.0180111168856397;0.0178680837098347;0.11070547043799;0.0754268840581701;0.0139160971184294;0.0742321895124635;0.16463591183223
Anthony Gordon;0.0916424993629501;0.100531827136469;0.142021929067865;0.0675142905128079;0.0301274267200507;0.0933637452145823;0.0180112887479138;0.0178680560385279;0.110707969920893;0.0754277401154674;0.0139160840464135;0.0742311726667141;0.164635970449345
Bruno Guimaraes;0.0916423707906827;0.100530592651442;0.142021344682716;0.0675137797033693;0.0301272535919417;0.0933644605517627;0.0180114136920738;0.0178680105401862;0.110710076556048;0.075428408053512;0.013916064224729;0.0742303400136701;0.164635884947866
Dan Burn;0.0916436435098857;0.100534499233046;0.142023363780697;0.0675157836847356;0.0301280006036234;0.0933634664434704;0.0180106830295602;0.0178677273317079;0.110704026720899;0.0754255674108403;0.0139159187043406;0.0742331895879883;0.164634129959205
Elliot Anderson;0.0916411381696252;0.100529862955209;0.142020759195719;0.0675129604635031;0.0301268921013278;0.0933631051505231;0.018011942492667;0.0178685704676677;0.110710503660684;0.0754297539850508;0.0139163507126893;0.0742295938807731;0.164638566764561
Fabian Schar;0.091638529089455;0.10052497900263;0.142018089221491;0.0675100854235211;0.0301257381078157;0.0933628582787713;0.0180132543198515;0.017869438027766;0.110717151242082;0.0754341842441907;0.0139167673985075;0.0742257479684144;0.164643177675503
Jacob Murphy;0.0916368877519028;0.100517521827122;0.142014263762256;0.0675064508408972;0.0301244636393515;0.0933658302566994;0.0180143387350098;0.01786958690447;0.110729646549658;0.075438869031513;0.0139168876125996;0.0742205711026698;0.164644681985851
Jamaal Lascelles;0.0916369552932828;0.100520293468545;0.142015589134627;0.067507574079833;0.0301248144246288;0.0933639306604333;0.0180141464282535;0.017869800499407;0.11072459074721;0.0754375875277487;0.0139169725446958;0.0742223530363413;0.164645392154993
Kieran Trippier;0.0916372993601457;0.100521019172015;0.1420159825729;0.0675079823810398;0.0301249694111953;0.0933639473968466;0.0180139636898109;0.0178696846204162;0.110723580842002;0.0754369739428363;0.0139169099950044;0.0742228883969548;0.164644798218833
Miguel Almiron;0.0916372853564114;0.100519611526612;0.142015346373234;0.0675074864877421;0.0301248292706083;0.0933648229592023;0.0180140714758211;0.0178695969348156;0.110725977479398;0.0754376098437476;0.0139168869830608;0.0742220443839745;0.164644430925373
Nick Pope;0.0916361848435343;0.100516394347238;0.142013635267096;0.0675057626110896;0.0301241863590476;0.0933655702151339;0.0180146878334146;0.0178698500075438;0.110731051696544;0.0754399727460773;0.0139170203717106;0.0742196839040216;0.164645999797549
Sandro Tonali;0.0916423071676061;0.100533360044196;0.142022634823563;0.067514837823413;0.0301275740775547;0.0933623563881799;0.0180112731828903;0.0178682924072678;0.110704935233222;0.0754272322470645;0.0139161826836933;0.0742320956948649;0.164636918226484
Sean Longstaff;0.0916394047641438;0.100526082546485;0.142018736687099;0.0675108377787299;0.0301260521640073;0.093363384666009;0.0180128398944932;0.0178690884399864;0.110715916516659;0.0754329437715937;0.0139165929171805;0.0742266668104049;0.164641453043209
