;Achraf Hakimi;Fabian Ruiz;Gianluigi Donnarumma;Goncalo Ramos;Kang-In Lee;Kylian Mbappe;Lucas Hernandez;Manuel Ugarte;Marquinhos;Milan Skriniar;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.14059768510084;0.0177926654155167;0.0355571301442194;0.00986962395043275;0.0322751849271966;0.0908522291009887;0.105540938874615;0.0737646683687841;0.0712770062251283;0.0709970750076142;0.0715571661968117;0.0520663755497444;0.126763854757216;0.101088396380893
Fabian Ruiz;0.140601865343784;0.0177923840686969;0.0355571982251104;0.00986922534320869;0.0322741681562541;0.0908531006446709;0.105538576089259;0.0737664957336931;0.0712744024033917;0.0709989705714233;0.0715549886835914;0.0520658706082143;0.126765080874;0.101087673254703
Gianluigi Donnarumma;0.140603622479214;0.0177922769600508;0.0355572093442001;0.00986908267858358;0.0322739119050696;0.090853178589119;0.105537583186115;0.0737672570178735;0.0712735860658385;0.0709995361200694;0.0715543988115917;0.0520657422059426;0.12676520859046;0.101087406045873
Goncalo Ramos;0.140595341515992;0.0177927948906227;0.0355572367602327;0.00986972008443061;0.0322748942572341;0.0908532799826507;0.105542346833476;0.0737636852759585;0.0712770733742108;0.070997069891591;0.0715567371876805;0.0520662208477973;0.12676493681887;0.101088662279253
Kang-In Lee;0.140604171572682;0.0177922272008379;0.0355572539278972;0.00986899194360657;0.0322735128822848;0.0908537517515312;0.105537292252674;0.073767507911857;0.0712728186467995;0.071000120171616;0.0715536068694804;0.0520655436580047;0.126765934896818;0.10108726631391
Kylian Mbappe;0.140596866936308;0.0177926737381828;0.0355573266558304;0.00986951247149751;0.0322740958273035;0.0908543414412046;0.105541520561124;0.073764367866389;0.0712754411796624;0.0709982965043818;0.0715551267980358;0.0520658222531985;0.126766280529689;0.101088327237192
Lucas Hernandez;0.140600020292491;0.0177924691876712;0.0355574353599889;0.00986918233092249;0.032273143800024;0.0908553813884847;0.10553978718231;0.0737657623305662;0.0712731691674443;0.0709999118103051;0.0715531212314093;0.0520653384608899;0.126767510930721;0.101087766526772
Manuel Ugarte;0.140599788523463;0.0177925071214972;0.0355572310223457;0.00986936242371702;0.0322742528249356;0.0908534024346177;0.105539792932923;0.0737656035087809;0.0712750273151191;0.0709985460892399;0.0715552677696281;0.0520659100673942;0.126765340488009;0.101087967478329
Marquinhos;0.140603263511698;0.0177922930905701;0.0355572227228819;0.00986909528892085;0.0322738497383734;0.0908533591262194;0.105537793780833;0.0737671054898033;0.0712735703012241;0.0709995662989847;0.0715543012005198;0.0520657115270322;0.12676542717368;0.101087440749259
Milan Skriniar;0.140595721224811;0.0177927635608753;0.0355572306419713;0.00986968703956378;0.032274819120335;0.0908533041524429;0.105542112854258;0.0737638457088144;0.0712768689260565;0.0709972450289998;0.0715565757004054;0.0520661874566816;0.126765049550934;0.101088589033851
Ousmane Dembele;0.140603145608517;0.0177923013842301;0.0355572400487889;0.00986909357969457;0.0322737971014432;0.0908534944332246;0.105537870106335;0.0737670606825721;0.0712735054327477;0.0709996085312743;0.0715542041012398;0.0520656821304239;0.126765549401714;0.101087447457795
Randal Kolo Muani;0.140599159349945;0.0177925553985322;0.0355572202674774;0.00986942725581776;0.0322744532472038;0.0908532129372256;0.105540137608637;0.0737653326429784;0.0712754773790637;0.0709982053182387;0.0715556810207453;0.0520660061970463;0.126765054789885;0.101088076587204
Vitinha Ferreira;0.140598255319907;0.0177925856857651;0.0355573503522968;0.00986938791192661;0.0322737893303323;0.0908545695748895;0.105540783894436;0.073764968283496;0.0712746592029375;0.0709988314183421;0.0715544675081722;0.0520656707079522;0.126766551769927;0.101088129039619
Warren Zaire-Emery;0.140600086604567;0.0177924865536547;0.0355572848484881;0.0098693003969965;0.0322739598550741;0.090853884785784;0.105539661226762;0.0737657485409233;0.0712744800033871;0.070998930930213;0.0715546858682443;0.0520657576617668;0.126765844807088;0.101087887917052
