;Christian Sorensen;Denis Vavro;Diogo Goncalves;Elias Achouri;Elias Jelert;Jordan Larsson;Kamil Grabara;Kevin Diks;Lukas Lerager;Mohamed Elyounoussi;Nicolai Boilesen;Orri Oskarsson;Peter Ankersen;Rasmus Falk;Roony Bardghji;Viktor Claesson
Christian Sorensen;0.060599768723677;0.112056416785184;0.0618943443237216;0.0483040269346866;0.104454807460554;0.0173980170982412;0.0234713568180474;0.167543627971489;0.0288445477222837;0.0395127146265491;0.0229721737498818;0.0151353664948886;0.0551000854886852;0.163796312942517;0.0211810392538243;0.0577353936057694
Denis Vavro;0.060597555358621;0.11206326560197;0.0618945053496263;0.0483025798596286;0.104456441084114;0.0173967991162248;0.0234722811800558;0.167539717641867;0.0288454490027263;0.0395137775764499;0.0229709399471653;0.0151334855988346;0.0550998311981346;0.163798203938996;0.0211800682105472;0.0577350993350387
Diogo Goncalves;0.0605971862600484;0.112060049487358;0.0618945057928323;0.0483028486540647;0.104455549948725;0.0173967659956118;0.023472089413325;0.167543363062457;0.0288454167053934;0.0395134802182451;0.0229711007150176;0.0151338317826454;0.0551013081714994;0.163797205751661;0.0211802153455708;0.0577350826955457
Elias Achouri;0.060597601198605;0.112058440198383;0.061894476423254;0.0483031549746724;0.104455157886927;0.0173970053528606;0.023471890935349;0.167544416569835;0.028845235168489;0.0395132454911578;0.0229713595517058;0.0151342319575802;0.0551014713131919;0.163796749805583;0.0211804215417181;0.0577351416306893
Elias Jelert;0.0605972035246693;0.112059329133193;0.061894502320144;0.0483029358085149;0.104455361162009;0.0173968008723653;0.0234720302647703;0.167544054681169;0.0288453808027694;0.0395133980244466;0.0229711663808256;0.0151339461091456;0.0551015424796363;0.163796987648564;0.0211802709761934;0.0577350898115838
Jordan Larsson;0.0606005881616818;0.112054879014625;0.0618942924174372;0.0483044415131351;0.104454471486643;0.017398422949832;0.0234710956142379;0.167544094611822;0.0288442593557287;0.0395124304256188;0.0229725475249661;0.0151359055984643;0.0550998409227532;0.163795911124671;0.0211813291050263;0.0577354901733577
Kamil Grabara;0.0605979673065679;0.112060565683793;0.0618944686508687;0.0483030147703778;0.104455757936004;0.0173970791751166;0.0234719969181344;0.167541856763564;0.028845220209844;0.0395134232023996;0.0229712903153098;0.0151340505990544;0.0551003750944346;0.163797419972561;0.0211803510790159;0.0577351623229541
Kevin Diks;0.0605967661360558;0.112055246015813;0.0618944996651173;0.0483032834588019;0.104454234911149;0.0173967706331105;0.0234717841324279;0.167548653807032;0.0288453290062994;0.0395130120879238;0.0229713801801168;0.0151343975738544;0.0551033876178896;0.163795719638492;0.0211804651398603;0.0577350699960552
Lukas Lerager;0.0605976986742115;0.112060442293295;0.0618944792720816;0.0483029511452425;0.104455690454424;0.0173969721275421;0.0234720310967619;0.167542318633746;0.0288452935143464;0.0395134536299587;0.0229712206619694;0.0151339692134329;0.0551006813308578;0.163797360359262;0.0211802992646852;0.0577351383281831
Mohamed Elyounoussi;0.0605974405596297;0.112058072231312;0.061894480176288;0.0483031444145833;0.104455043010026;0.0173969523656239;0.0234718912218136;0.167544985308357;0.028845267911961;0.0395132288756055;0.0229713413838706;0.01513422559023;0.0551017614005265;0.16379662050268;0.0211804118072572;0.0577351332402346
Nicolai Boilesen;0.0605990041399215;0.112059631368398;0.0618944052188587;0.0483034266556228;0.104455599555877;0.0173975605477149;0.0234717439180436;0.167541437993255;0.0288448971504868;0.0395131746868079;0.0229716764919146;0.0151345860936266;0.0550997060448225;0.163797221938451;0.0211806438385158;0.0577352843576837
Orri Oskarsson;0.060601351693971;0.112056650348389;0.0618942621374689;0.048304456577491;0.104455009204133;0.0173986909175849;0.0234711031949824;0.167541359576069;0.0288441207790085;0.0395125165991065;0.0229726220675832;0.0151359282477573;0.0550984836954868;0.163796507692456;0.0211813692741316;0.0577355679943807
Peter Ankersen;0.0605958665751233;0.112054392163192;0.0618945425213372;0.0483031184867295;0.104453925457855;0.0173964176629121;0.0234718722469798;0.167550659107982;0.0288455421693481;0.0395130468498334;0.0229711850553466;0.0151341846780054;0.0551045530415161;0.163795387142626;0.0211803287061417;0.0577349781350713
Rasmus Falk;0.0605975037306919;0.112058608957036;0.0618944827861259;0.0483031059166602;0.104455191708208;0.0173969580291617;0.0234719212753584;0.167544381628786;0.0288452675902244;0.0395132779764824;0.0229713166365446;0.0151341700546618;0.0551015053253279;0.163796790601122;0.0211803883336017;0.0577351294500072
Roony Bardghji;0.0605971988576866;0.112056484914485;0.061894486315855;0.0483032668148345;0.104454603140987;0.017396908583712;0.0234718059153773;0.167546867883228;0.0288452617265634;0.0395130880839911;0.022971404511503;0.015134374563668;0.0551025377767397;0.16379612951264;0.0211804722956107;0.0577351091031192
Viktor Claesson;0.0605985054980558;0.112056817210727;0.0618944140824429;0.048303608346506;0.104454801660624;0.0173974585426852;0.0234716070736629;0.167544860116345;0.0288449166263672;0.0395129397200386;0.0229717643145258;0.0151348214925023;0.0551011682822272;0.16379633246295;0.0211807336229916;0.0577352509473487
