;Andre Ramalho;Guus Til;Hirving Lozano;Ismael Saibari;Jerdy Schouten;Joey Veerman;Johan Bakayoko;Jordan Teze;Luuk de Jong;Malik Tillman;Olivier Boscagli;Sergino Dest;Walter Benitez
Andre Ramalho;0.0659635235494187;0.0555531273962566;0.113521505102155;0.0173042056709939;0.099050269584624;0.0840710257486818;0.0998889453664446;0.120515718099671;0.0911163862251647;0.0263291950272245;0.0744065157668823;0.110206544900277;0.0420730375622058
Guus Til;0.0659634192914131;0.0555530871195045;0.113520462174952;0.0173040124963723;0.0990516081213539;0.0840710685813843;0.0998901091330966;0.120513537102161;0.0911159008104987;0.026328942185834;0.0744070680817834;0.110208178856505;0.0420726060451409
Hirving Lozano;0.065963145257379;0.0555530993626783;0.113522121922483;0.0173040196330748;0.0990508237741422;0.0840718091767181;0.0998895002813327;0.120514772917115;0.0911151459162415;0.0263288547589283;0.0744070246638558;0.110206070469725;0.0420736118663255
Ismael Saibari;0.0659636884261499;0.0555533213128909;0.113520943940201;0.0173040702868192;0.0990505415069389;0.0840707326602015;0.0998887998890379;0.120515166735881;0.0911163366995934;0.0263291105353707;0.0744067766013459;0.11020742012536;0.0420730912802095
Jerdy Schouten;0.0659632950983679;0.0555533529608536;0.113522237840831;0.017304092669964;0.0990502995702708;0.0840715693417128;0.0998884213718185;0.120515622969973;0.0911157553816444;0.0263290806076959;0.0744059727786478;0.11020660711547;0.0420736922927492
Joey Veerman;0.0659634153352747;0.0555532472358783;0.113521851376178;0.0173040644693862;0.0990503903617132;0.084071326781235;0.0998888263190847;0.120515414313365;0.0911157591405737;0.0263290152732654;0.074406752880952;0.110206403516013;0.0420735329970811
Johan Bakayoko;0.065963474818023;0.0555533974147077;0.113522810176436;0.0173040812856481;0.0990492887304021;0.0840713980028851;0.0998874100625315;0.120516727204283;0.091116160774257;0.0263291675216181;0.0744061471219629;0.110205979732186;0.0420739571550593
Jordan Teze;0.0659634061455192;0.0555529558805687;0.113520868887177;0.01730401139967;0.0990511912129637;0.0840711550946614;0.0998899757166555;0.120513882436421;0.0911159783219171;0.0263289401227175;0.0744074039191424;0.110207597292302;0.0420726335702854
Luuk de Jong;0.0659635545460887;0.0555532194135822;0.113521545776933;0.0173040129196964;0.0990503231723349;0.0840710717451566;0.0998887934622564;0.120515238727176;0.0911159949725926;0.0263290046198359;0.0744071635463149;0.11020673256048;0.0420733445375528
Malik Tillman;0.0659634385935948;0.0555531507785791;0.113522066896022;0.0173040486735383;0.0990499882002647;0.0840713145382794;0.0998884600650789;0.120515525090101;0.0911161934132281;0.0263290821302158;0.0744067355830055;0.11020669224053;0.0420733037975626
Olivier Boscagli;0.0659633866521288;0.0555529933738922;0.113523397976823;0.0173042735577919;0.099048698023905;0.0840715468219608;0.0998877578843339;0.120517629375576;0.0911164650987159;0.0263292874167947;0.0744064368516982;0.110204443316115;0.0420736836502649
Sergino Dest;0.0659639557811268;0.0555534722137235;0.113520811192905;0.0173041304292853;0.0990500357883326;0.084070284478107;0.0998881729086815;0.120516059578384;0.0911167699950087;0.0263292448871265;0.0744066564527189;0.110207209148365;0.0420731971462346
Walter Benitez;0.0659633996271995;0.0555534246600784;0.113518693788246;0.0173042061385358;0.099053549259218;0.0840707430785049;0.0998915635773718;0.1205124890315;0.0911153737337055;0.0263289837676149;0.0744058789213874;0.110209297062053;0.0420723973545856
