;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Cesar Azpilicueta;Jan Oblak;Jose Gimenez;Koke;Marcos Llorente;Nahuel Molina;Pablo Barrios ;Rodrigo de Paul;Samuel Lino
Alvaro Morata;0.0578945052880518;0.00858683594406139;0.148471961520836;0.0500831828938842;0.0914623691232262;0.0314710013140668;0.064486340339884;0.107336770269641;0.100009495576245;0.0750599468206964;0.0250008520685427;0.094930744770249;0.145205994070616
Angel Correa;0.0578946785319776;0.0085869025797202;0.148472067694438;0.0500831800685237;0.0914624413106149;0.0314710586307226;0.0644862398905;0.107336570117832;0.100009330430588;0.0750601463957875;0.0250008854984442;0.0949310002662611;0.145205498584591
Antoine Griezmann;0.0578956892916979;0.00858712011291683;0.148476184949385;0.0500822241657021;0.0914638692097502;0.0314715790279252;0.0644858886015149;0.107335097443854;0.100010264994033;0.0750589751557302;0.0250000111916391;0.0949337056708146;0.145199390185037
Axel Witsel;0.057894725439222;0.00858687756231901;0.148472848577016;0.0500830012778257;0.091462641245619;0.0314711053483486;0.0644862885950259;0.107336485554952;0.100009804100679;0.0750596833193258;0.0250006453444124;0.0949312745217144;0.145204619113541
Cesar Azpilicueta;0.0578956449699709;0.00858709001150255;0.148476186883801;0.0500821919080416;0.0914638203745969;0.0314715550798655;0.0644859571824234;0.10733522380615;0.100010358503036;0.0750588910927314;0.0249999887567033;0.0949336080432655;0.145199483387911
Jan Oblak;0.0578946131032578;0.00858687640066813;0.148472108148526;0.0500831664092544;0.0914624441908979;0.0314710440834596;0.0644862814207676;0.107336633432686;0.100009440689071;0.0750600049576599;0.0250008436210198;0.0949309302308793;0.145205613311853
Jose Gimenez;0.0578942208084197;0.00858674872629701;0.148471166491241;0.050083348750606;0.0914620494265043;0.0314708660498785;0.0644864643399073;0.10733715407354;0.100009452467647;0.075060076407852;0.0250009965260358;0.0949301091612219;0.14520734677085
Koke;0.0578948911559942;0.00858690351149314;0.148473533306656;0.0500828109686362;0.0914628537420995;0.0314711836258633;0.0644862569840635;0.107336296043989;0.100009958828992;0.0750594880232622;0.0250005036665094;0.0949317056446538;0.145203614497788
Marcos Llorente;0.0578949521184633;0.00858692560942653;0.148473678038801;0.0500828026946259;0.0914629126077048;0.0314712116823088;0.0644862316295821;0.107336214592855;0.100009995408094;0.0750594600018041;0.0250004689770018;0.0949318147663597;0.145203331872974
Nahuel Molina;0.0578947016026193;0.00858687930812788;0.148472619093658;0.0500830392641105;0.0914625856152355;0.0314710881232322;0.0644862648588604;0.107336497494634;0.10000963626643;0.0750598418518492;0.0250007285988883;0.0949312122602104;0.145204905662145
Pablo Barrios ;0.057894888203213;0.00858694027975941;0.148473200350233;0.0500829345907052;0.0914628415277982;0.0314711861669624;0.0644861378811439;0.107336147885193;0.100009658120655;0.0750597734314042;0.0250006330018167;0.0949317062304396;0.145203952330677
Rodrigo de Paul;0.0578952363470864;0.00858701263697042;0.14847466484241;0.0500825649782907;0.091463358529071;0.0314713701680516;0.0644860140566468;0.107335636657043;0.100009934701333;0.0750593517114481;0.0250003322049105;0.0949326827875437;0.145201840379196
Samuel Lino;0.0578935690498394;0.00858660265459798;0.148469010186347;0.0500838431207868;0.0914613416175938;0.031470576731195;0.0644866694497777;0.107337964905769;0.100009009332688;0.0750605000533472;0.0250014197073137;0.0949286122581834;0.145210880932562
