;Emre Can;Gregor Kobel;Ian Maatsen;Jadon Sancho;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Marius Wolf;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Youssoufa Moukoko
Emre Can;0.0734726413119157;0.0770231427232045;0.11323129443464;0.140466266346309;0.0988744538957276;0.111882638604081;0.0665286895949998;0.0565082898968474;0.00597667646132731;0.00842788278642325;0.122948963566193;0.0401886133390513;0.0756779131668445;0.00879253387243554
Gregor Kobel;0.0734726506968269;0.0770214944135477;0.113231646053605;0.14046648122664;0.0988738533533921;0.111882082499808;0.0665282642124294;0.0565081768952075;0.00597667613520626;0.00842801404102238;0.122951222847182;0.0401887495965436;0.0756781149135817;0.00879257311500826
Ian Maatsen;0.0734728239277292;0.0770229165519664;0.11323309620979;0.140463671509874;0.0988748264571477;0.111884069814419;0.0665281079694578;0.0565087115604258;0.00597669493253287;0.00842807409828615;0.122948638463595;0.040187945381555;0.0756779739803359;0.00879244914288507
Jadon Sancho;0.0734724404781748;0.0770221942137388;0.113229004663483;0.140467066185469;0.0988743147491543;0.111882545645066;0.0665298394504391;0.0565084432539594;0.00597680519748545;0.00842793837172048;0.122949657240977;0.0401886449257973;0.0756786990277539;0.00879240659678179
Julian Brandt;0.0734727521063079;0.0770229397804744;0.11323256765024;0.140465923942995;0.0988742862369685;0.111882401582725;0.0665280047275941;0.0565081360933275;0.00597661554995619;0.00842789847642763;0.12294956987234;0.0401886398138993;0.0756776604202826;0.00879260374646145
Julian Ryerson;0.07347278848023;0.0770228503195129;0.113234945080935;0.140465694171042;0.0988739820314781;0.111883676337732;0.0665255258325536;0.0565087232177571;0.00597645257136522;0.00842817849532074;0.12294944561264;0.0401888651971695;0.0756759618066621;0.00879291084560107
Karim Adeyemi;0.0734727940890023;0.0770239737791905;0.113232150072565;0.140466562740677;0.098874460823189;0.111881296747434;0.0665287530358901;0.056507572361119;0.00597659968353794;0.00842761968264511;0.122948967856625;0.0401887717399277;0.0756779078691177;0.00879256951907877
Marcel Sabitzer;0.0734726229644884;0.0770233264136932;0.113231854808817;0.140466057528476;0.0988744928959262;0.111883471132313;0.0665279419849007;0.0565086577307254;0.00597663747100941;0.00842799987673612;0.122948396948982;0.0401886198728482;0.0756773007502365;0.00879261962084704
Marco Reus;0.0734720050324864;0.0770223980736276;0.113225287974205;0.140468706701654;0.0988745340824815;0.111883862056363;0.0665309815013579;0.0565093071274804;0.00597694507402724;0.00842806551207646;0.122948016067396;0.0401888152854295;0.0756787338679457;0.0087923416434696
Marius Wolf;0.0734724997032679;0.0770264268715157;0.113232337844774;0.140466900683706;0.0988751307255085;0.111885289215769;0.0665265703163012;0.0565093778103948;0.00597647615476643;0.00842797037656177;0.122944037858616;0.0401889527974666;0.0756751281572955;0.0087929014840572
Mats Hummels;0.073472453330455;0.0770236380390965;0.113230183540969;0.140466828976666;0.0988746402512053;0.111883772200778;0.0665286433642582;0.0565088861489662;0.00597669751942283;0.00842798733329132;0.122947576062405;0.0401886976058362;0.0756774219209384;0.00879257370571175
Niclas Fullkrug;0.073472709944681;0.0770229684096879;0.113232259015922;0.14046553345489;0.0988744585476281;0.11188309916482;0.0665281110115147;0.0565084411201339;0.00597665165114052;0.00842797437794141;0.122949060338214;0.0401884811689168;0.07567768915732;0.00879256263719047
Nico Schlotterbeck;0.0734727216606321;0.07702421043927;0.113232705743369;0.140466356723148;0.0988745271112554;0.111882782677888;0.0665276417901109;0.0565082607301788;0.00597655246473673;0.00842783180502002;0.122947978367489;0.0401887919715845;0.0756769382933846;0.00879270022193354
Youssoufa Moukoko;0.0734728892149653;0.0770238957780086;0.113237853547102;0.140465639528675;0.0988738750534048;0.111884665431198;0.0665228999159782;0.0565090820483504;0.00597622491529146;0.00842830643247795;0.122948318821761;0.0401891855722505;0.0756738904397124;0.00879327330082451
